Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
747,54988,42964,6.8,14.1,41.7,24.5,19.6,21.2,2.77E-05
162,7602,37648,5,13.5,35.4,30.6,20.5,18.1,3.58E-06
912,23167,46393,6,14,41.6,30,14.5,17.3,1.22E-05
390,10327,50560,5.5,15.2,41.7,30.5,12.7,16.5,7.23E-06
533,17299,31521,9.1,19.7,31.9,34.6,13.8,33.3,9.60E-06
311,10643,44426,5.9,12.6,38.1,32,17.3,16.9,6.84E-06
740,16043,40536,5.5,19.7,43.1,26.2,11.1,23.1,8.17E-06
740,23283,40536,5.5,19.7,43.1,26.2,11.1,23.1,1.19E-05
709,19707,39722,6.6,15.1,36.5,34.3,14.1,20.2,8.87E-06
709,240119,39722,6.6,15.1,36.5,34.3,14.1,20.2,0.000108094
2433,64334,47519,5.9,15.5,35.2,26.5,22.8,16.9,3.06E-05
2433,76544,47519,5.9,15.5,35.2,26.5,22.8,16.9,3.64E-05
337,4119,46205,5.3,16.8,39.9,27.8,15.4,15,2.45E-06
337,7966,46205,5.3,16.8,39.9,27.8,15.4,15,4.75E-06
13794,392980,52684,7.4,9.6,26,30.1,34.3,14.6,0.000199931
13794,79811,52684,7.4,9.6,26,30.1,34.3,14.6,4.06E-05
626,6239,42875,5.9,17.1,36.1,32.9,13.8,17.3,3.69E-06
626,18247,42875,5.9,17.1,36.1,32.9,13.8,17.3,1.08E-05
820,33633,34389,7.9,18.1,37.6,33.9,10.4,32,2.05E-05
820,24682,34389,7.9,18.1,37.6,33.9,10.4,32,1.50E-05
4107,16037,66944,5.1,9.4,31.4,32.6,26.7,9.6,8.56E-06
4107,123968,66944,5.1,9.4,31.4,32.6,26.7,9.6,6.62E-05
323,10164,38065,4.5,20.9,40.8,29.1,9.3,19.6,4.40E-06
323,20613,38065,4.5,20.9,40.8,29.1,9.3,19.6,8.92E-06
170,7842,34712,6.4,18.2,40.2,29.7,11.9,22.4,4.55E-06
170,17168,34712,6.4,18.2,40.2,29.7,11.9,22.4,9.95E-06
5391,55304,48945,6,15.9,31,31.7,21.3,15.9,4.01E-05
5391,127590,48945,6,15.9,31,31.7,21.3,15.9,9.26E-05
